Time (s) Auto,FN
0,865.37
0.002,865.77
0.004,866.11
0.006,865.89
0.008,866.05
0.01,865.78
0.012,865.91
0.014,866.01
0.016,865.84
0.018,866.33
0.02,865.94
0.022,865.78
0.024,865.83
0.026,865.77
0.028,865.42
0.03,865.47
0.032,865.28
0.034,864.94
0.036,864.78
0.038,864.64
0.04,864.05
0.042,863.91
0.044,863.42
0.046,863.12
0.048,863.33
0.05,863.21
0.052,863.05
0.054,862.8
0.056,862.72
0.058,862.71
0.06,862.85
0.062,862.9
0.064,862.68
0.066,863.32
0.068,863.1
0.07,863.18
0.072,863.72
0.074,863.74
0.076,864.73
0.078,864.57
0.08,864.95
0.082,865.46
0.084,866.11
0.086,866.33
0.088,866.62
0.09,867.3
0.092,867.97
0.094,868.75
0.096,869.13
0.098,869.77
0.1,869.45
0.102,869.85
0.104,870.31
0.106,870.67
0.108,870.47
0.11,869.8
0.112,870.55
0.114,869.87
0.116,869.61
0.118,869.25
0.12,869.52
0.122,868.93
0.124,868.7
0.126,868.24
0.128,868.17
0.13,868.19
0.132,867.53
0.134,867.11
0.136,867.35
0.138,866.53
0.14,866.61
0.142,866.74
0.144,866.63
0.146,866.35
0.148,866.02
0.15,866.16
0.152,866.37
0.154,866.15
0.156,866.72
0.158,866.66
0.16,866.71
0.162,866.76
0.164,867.28
0.166,866.89
0.168,866.79
0.17,867.62
0.172,867.38
0.174,867.88
0.176,868.04
0.178,867.79
0.18,868.28
0.182,867.52
0.184,868.22
0.186,867.51
0.188,867.89
0.19,867.78
0.192,867.29
0.194,867.57
0.196,866.54
0.198,866.53
0.2,865.99
0.202,865.69
0.204,865.64
0.206,865.26
0.208,864.61
0.21,863.57
0.212,863.12
0.214,862.84
0.216,862.9
0.218,861.98
0.22,861.61
0.222,861.34
0.224,860.58
0.226,859.72
0.228,859.36
0.23,859.13
0.232,858.56
0.234,858.92
0.236,858.35
0.238,858.33
0.24,858.65
0.242,858.93
0.244,858.66
0.246,859.13
0.248,859.39
0.25,859.84
0.252,860.4
0.254,860.24
0.256,861.16
0.258,861.19
0.26,861.63
0.262,862.11
0.264,862.76
0.266,863.4
0.268,864.19
0.27,864.27
0.272,864.43
0.274,864.67
0.276,865.49
0.278,865.13
0.28,865.66
0.282,866.02
0.284,865.85
0.286,866.49
0.288,866.31
0.29,866.52
0.292,866.35
0.294,866.74
0.296,866.63
0.298,866.71
0.3,866.41
0.302,866.54
0.304,866.57
0.306,866.65
0.308,866.46
0.31,866.89
0.312,866.59
0.314,866.54
0.316,866.86
0.318,866.84
0.32,867.09
0.322,867.22
0.324,866.68
0.326,867.03
0.328,867.01
0.33,866.8
0.332,866.74
0.334,866.77
0.336,866.88
0.338,866.86
0.34,866.49
0.342,866.57
0.344,865.95
0.346,866.17
0.348,866.01
0.35,865.68
0.352,866.04
0.354,865.85
0.356,865.59
0.358,865.29
0.36,866.02
0.362,865.73
0.364,865.97
0.366,865.98
0.368,865.76
0.37,866.09
0.372,865.8
0.374,866.1
0.376,865.78
0.378,866.31
0.38,866.04
0.382,866.26
0.384,865.97
0.386,866.16
0.388,866.19
0.39,866.7
0.392,866.24
0.394,866.11
0.396,866.22
0.398,866.28
0.4,866.5
0.402,866.49
0.404,866.56
0.406,866.56
0.408,866.12
0.41,865.89
0.412,865.86
0.414,866.08
0.416,866.19
0.418,866.05
0.42,865.55
0.422,865.52
0.424,865.9
0.426,865.55
0.428,865.75
0.43,865.75
0.432,865.43
0.434,865.38
0.436,865.44
0.438,865.72
0.44,865.07
0.442,865.13
0.444,865.32
0.446,864.13
0.448,864.81
0.45,864.49
0.452,864.66
0.454,864.67
0.456,864.59
0.458,864.65
0.46,864.32
0.462,864.06
0.464,864.14
0.466,863.88
0.468,864.17
0.47,864.04
0.472,863.67
0.474,863.99
0.476,863.62
0.478,863.54
0.48,863.3
0.482,863.01
0.484,863.47
0.486,863.36
0.488,863.2
0.49,863.72
0.492,863.62
0.494,863.38
0.496,863.84
0.498,863.77
0.5,863.47
0.502,863.88
0.504,864.27
0.506,864.43
0.508,864.55
0.51,864.71
0.512,864.74
0.514,864.85
0.516,864.64
0.518,865.02
0.52,865.13
0.522,865.97
0.524,865.62
0.526,866.49
0.528,865.65
0.53,866.25
0.532,865.7
0.534,866.3
0.536,866.22
0.538,866.35
0.54,865.54
0.542,866.57
0.544,866.76
0.546,866.22
0.548,866.06
0.55,865.71
0.552,865.65
0.554,865.24
0.556,864.79
0.558,864.95
0.56,864.87
0.562,864.49
0.564,864.17
0.566,864.2
0.568,864.5
0.57,864.39
0.572,864.34
0.574,864.02
0.576,863.97
0.578,863.75
0.58,863.78
0.582,863.64
0.584,863.76
0.586,863.95
0.588,864.01
0.59,863.68
0.592,864.74
0.594,864.55
0.596,864.2
0.598,864.44
0.6,864.31
0.602,864.61
0.604,864.07
0.606,864.39
0.608,863.99
0.61,864.1
0.612,863.94
0.614,863.7
0.616,864.24
0.618,863.84
0.62,863.82
0.622,863.82
0.624,863.82
0.626,863.93
0.628,863.14
0.63,863.86
0.632,863.56
0.634,863.79
0.636,863.78
0.638,864.19
0.64,864.12
0.642,864.5
0.644,864.44
0.646,864.78
0.648,864.85
0.65,864.7
0.652,864.75
0.654,864.78
0.656,864.7
0.658,864.71
0.66,865.41
0.662,864.93
0.664,864.68
0.666,865.14
0.668,864.74
0.67,864.8
0.672,864.83
0.674,864.55
0.676,864.42
0.678,863.99
0.68,864.56
0.682,864.45
0.684,863.93
0.686,864.58
0.688,864.43
0.69,863.83
0.692,864.32
0.694,863.75
0.696,864.02
0.698,864.24
0.7,864.24
0.702,864.03
0.704,864.48
0.706,864
0.708,864.79
0.71,864.46
0.712,865.14
0.714,865.22
0.716,865.28
0.718,865.01
0.72,865.85
0.722,865.31
0.724,865.37
0.726,865.43
0.728,865.37
0.73,865.48
0.732,865.75
0.734,865.08
0.736,865
0.738,864.97
0.74,865.35
0.742,864.44
0.744,864.66
0.746,864.28
0.748,863.88
0.75,863.85
0.752,864.29
0.754,863.8
0.756,863.7
0.758,863.56
0.76,863.7
0.762,863.7
0.764,863.32
0.766,863.87
0.768,863.57
0.77,864.22
0.772,863.87
0.774,863.6
0.776,864.31
0.778,863.57
0.78,864.01
0.782,864.23
0.784,864.06
0.786,864.61
0.788,864.52
0.79,864.82
0.792,864.42
0.794,864.66
0.796,864.68
0.798,864.68
0.8,865.01
0.802,864.66
0.804,865.55
0.806,865.31
0.808,865.57
0.81,865.17
0.812,865.71
0.814,865.28
0.816,865.36
0.818,865.8
0.82,865.36
0.822,866.12
0.824,865.8
0.826,865.72
0.828,865.51
0.83,865.91
0.832,865.61
0.834,865.4
0.836,865.35
0.838,865.29
0.84,865.41
0.842,864.97
0.844,865.16
0.846,864.67
0.848,864.81
0.85,864.54
0.852,863.75
0.854,863.85
0.856,864.1
0.858,864.66
0.86,863.58
0.862,864.01
0.864,863.82
0.866,863.9
0.868,863.47
0.87,863.43
0.872,863.4
0.874,863.67
0.876,863.59
0.878,863.48
0.88,863.48
0.882,863.72
0.884,863.37
0.886,863.26
0.888,863.5
0.89,863.96
0.892,863.77
0.894,863.98
0.896,864.34
0.898,864.47
0.9,864.8
0.902,864.91
0.904,864.78
0.906,864.99
0.908,865.46
0.91,865.68
0.912,865.56
0.914,866.1
0.916,866.54
0.918,866.35
0.92,867.11
0.922,867.06
0.924,867.55
0.926,867.42
0.928,867.88
0.93,868.14
0.932,867.8
0.934,868.39
0.936,868.28
0.938,868.34
0.94,868.12
0.942,868.55
0.944,868.61
0.946,868.44
0.948,868.36
0.95,867.99
0.952,867.77
0.954,868.09
0.956,867.36
0.958,867.47
0.96,867.25
0.962,866.55
0.964,866.52
0.966,865.68
0.968,865.65
0.97,865.63
0.972,864.95
0.974,865.36
0.976,864.6
0.978,864.63
0.98,864.68
0.982,864.09
0.984,864.14
0.986,863.87
0.988,863.68
0.99,863.9
0.992,863.49
0.994,863.03
0.996,863.17
0.998,863.54
1,863.65
1.002,863.3
1.004,864
1.006,863.33
1.008,863.94
1.01,863.97
1.012,863.65
1.014,863.73
1.016,863.75
1.018,863.84
1.02,863.78
1.022,864.1
1.024,864.51
1.026,864.44
1.028,864.78
1.03,864.68
1.032,864.54
1.034,864.65
1.036,865.33
1.038,864.75
1.04,865.12
1.042,865.34
1.044,865.19
1.046,865.78
1.048,865.54
1.05,865.66
1.052,865.53
1.054,866.23
1.056,865.47
1.058,865.8
1.06,866.35
1.062,866
1.064,866.36
1.066,866.28
1.068,866.77
1.07,866.45
1.072,866.69
1.074,866.4
1.076,866.56
1.078,866.79
1.08,866.38
1.082,866.3
1.084,866.27
1.086,866.14
1.088,866.28
1.09,864.82
1.092,865.01
1.094,864.53
1.096,864.86
1.098,864.07
1.1,863.83
1.102,863.18
1.104,862.91
1.106,862.88
1.108,862.77
1.11,862.36
1.112,862.34
1.114,861.26
1.116,861.5
1.118,860.75
1.12,861.4
1.122,860.5
1.124,860.69
1.126,860.39
1.128,860.31
1.13,860.45
1.132,860.23
1.134,860.28
1.136,860.44
1.138,860.52
1.14,860.6
1.142,860.57
1.144,861.05
1.146,861.4
1.148,861.41
1.15,861.97
1.152,861.73
1.154,862.27
1.156,862.37
1.158,862.75
1.16,863.34
1.162,863.91
1.164,864.39
1.166,864.79
1.168,865.22
1.17,865.66
1.172,865.93
1.174,866.25
1.176,867.12
1.178,867.11
1.18,867.16
1.182,868.03
1.184,868.35
1.186,868.65
1.188,868.89
1.19,869.35
1.192,869.7
1.194,869.92
1.196,870
1.198,870.48
1.2,870.51
1.202,870.83
1.204,870.62
1.206,870.83
1.208,870.83
1.21,871.02
1.212,870.75
1.214,870.64
1.216,870.64
1.218,870.89
1.22,870.73
1.222,870.99
1.224,870.35
1.226,870.56
1.228,870.78
1.23,870.45
1.232,870.43
1.234,870.94
1.236,870.86
1.238,870.53
1.24,871.13
1.242,870.97
1.244,871.37
1.246,871.2
1.248,871.04
1.25,870.85
1.252,871.41
1.254,871.09
1.256,871.52
1.258,871.3
1.26,871.41
1.262,871.57
1.264,871.44
1.266,871.28
1.268,871.86
1.27,871.56
1.272,871.67
1.274,870.83
1.276,871.21
1.278,870.5
1.28,870.53
1.282,869.63
1.284,869.14
1.286,868
1.288,867.1
1.29,866.43
1.292,864.77
1.294,863.6
1.296,862.87
1.298,861.18
1.3,860.69
1.302,859.47
1.304,858.54
1.306,857.99
1.308,857.72
1.31,857.31
1.312,856.96
1.314,857.39
1.316,857.42
1.318,858.12
1.32,858.66
1.322,859.73
1.324,860.4
1.326,861.75
1.328,862.71
1.33,863.66
1.332,865.67
1.334,866.23
1.336,866.69
1.338,868.62
1.34,869.48
1.342,869.67
1.344,870.97
1.346,871.73
1.348,871.7
1.35,872.89
1.352,873.08
1.354,873.38
1.356,873.4
1.358,874.03
1.36,874.13
1.362,873.88
1.364,873.64
1.366,873.07
1.368,873.36
1.37,873.17
1.372,872
1.374,872.21
1.376,871.56
1.378,870.94
1.38,870.74
1.382,870.17
1.384,869.9
1.386,869.22
1.388,868.81
1.39,868.84
1.392,867.84
1.394,868.3
1.396,867.83
1.398,867.3
1.4,866.24
1.402,867.1
1.404,866.62
1.406,866.52
1.408,866.3
1.41,865.95
1.412,866.2
1.414,866.08
1.416,866.16
1.418,866.33
1.42,866.68
1.422,866.41
1.424,866.34
1.426,866.36
1.428,866.92
1.43,866.95
1.432,867.11
1.434,867.01
1.436,867.15
1.438,867.09
1.44,867.58
1.442,866.68
1.444,867.34
1.446,866.88
1.448,867.01
1.45,866.77
1.452,866.9
1.454,866.79
1.456,866.42
1.458,866.41
1.46,866.55
1.462,866.17
1.464,865.52
1.466,865.41
1.468,864.84
1.47,864.26
1.472,863.64
1.474,862.95
1.476,862.46
1.478,862.14
1.48,861.24
1.482,860.59
1.484,860.42
1.486,859.66
1.488,859.11
1.49,858.07
1.492,858.5
1.494,857.85
1.496,857.28
1.498,856.75
1.5,856.34
1.502,856.04
1.504,855.98
1.506,855.54
1.508,855.32
1.51,854.69
1.512,854.77
1.514,854.03
1.516,854
1.518,853.64
1.52,853.53
1.522,853.15
1.524,852.68
1.526,852.25
1.528,851.54
1.53,851.43
1.532,851.3
1.534,851.29
1.536,850.78
1.538,850.81
1.54,850.97
1.542,851.08
1.544,851.4
1.546,851.56
1.548,852.27
1.55,853.19
1.552,853.47
1.554,853.82
1.556,854.58
1.558,855.61
1.56,855.72
1.562,857.48
1.564,858.24
1.566,859.08
1.568,860.49
1.57,861.85
1.572,862.42
1.574,863.71
1.576,864.43
1.578,865.93
1.58,866.15
1.582,867.58
1.584,867.91
1.586,868.77
1.588,869.26
1.59,869.07
1.592,869.99
1.594,869.83
1.596,869.93
1.598,870.45
1.6,870.15
1.602,869.82
1.604,870.12
1.606,869.82
1.608,869.6
1.61,869.6
1.612,869.41
1.614,869.55
1.616,868.41
1.618,868.68
1.62,868.5
1.622,867.85
1.624,867.04
1.626,866.77
1.628,866.67
1.63,866.34
1.632,866.43
1.634,866
1.636,865.45
1.638,865.38
1.64,865.22
1.642,865.41
1.644,865.38
1.646,864.82
1.648,864.61
1.65,864.56
1.652,864.65
1.654,864.62
1.656,864.38
1.658,864.28
1.66,864.92
1.662,864.5
1.664,864.66
1.666,864.5
1.668,864.31
1.67,864.64
1.672,864.21
1.674,863.91
1.676,864.11
1.678,864.28
1.68,864.71
1.682,864.66
1.684,864.58
1.686,864.61
1.688,865.16
1.69,865.7
1.692,865.63
1.694,866.36
1.696,866.47
1.698,866.96
1.7,867.26
1.702,867.81
1.704,867.95
1.706,868.5
1.708,868.9
1.71,869.29
1.712,869.46
1.714,869.82
1.716,869.91
1.718,870.53
1.72,870.87
1.722,871.5
1.724,871.77
1.726,872.51
1.728,872.76
1.73,873.36
1.732,873.82
1.734,874.1
1.736,874.38
1.738,874.62
1.74,874.68
1.742,875.01
1.744,875.09
1.746,874.72
1.748,874.45
1.75,874.4
1.752,874.07
1.754,873.86
1.756,873.29
1.758,872.56
1.76,872.29
1.762,872.26
1.764,871.45
1.766,870.61
1.768,869.67
1.77,869.7
1.772,869.03
1.774,867.97
1.776,867.78
1.778,867.3
1.78,866.44
1.782,865.93
1.784,865.44
1.786,864.94
1.788,865.1
1.79,864.51
1.792,863.6
1.794,863.85
1.796,863.35
1.798,863.57
1.8,863.52
1.802,863.42
1.804,863.62
1.806,863.79
1.808,863.62
1.81,864
1.812,863.91
1.814,864.54
1.816,864.2
1.818,865.04
1.82,865.02
1.822,865.35
1.824,864.85
1.826,864.6
1.828,864.54
1.83,864.81
1.832,864.33
1.834,864.09
1.836,863.12
1.838,863.51
1.84,863.87
1.842,862.81
1.844,862.76
1.846,862.42
1.848,862.07
1.85,861.51
1.852,861.32
1.854,861.03
1.856,861.01
1.858,860.26
1.86,859.45
1.862,859.84
1.864,858.84
1.866,858.6
1.868,857.9
1.87,858.37
1.872,857.62
1.874,857.03
1.876,856.85
1.878,856.34
1.88,855.61
1.882,855.76
1.884,855.25
1.886,855.07
1.888,854.58
1.89,853.96
1.892,853.89
1.894,853.73
1.896,853.14
1.898,852.72
1.9,852.51
1.902,852.18
1.904,851.81
1.906,851.96
1.908,852.25
1.91,851.9
1.912,852.43
1.914,852.67
1.916,853.17
1.918,853.25
1.92,854.07
1.922,854.5
1.924,855.45
1.926,855.62
1.928,856.19
1.93,857
1.932,857.63
1.934,858.31
1.936,858.83
1.938,859.48
1.94,860.54
1.942,860.84
1.944,861.5
1.946,861.91
1.948,862.89
1.95,863.65
1.952,864.23
1.954,864.8
1.956,865.46
1.958,866.46
1.96,866.82
1.962,867.12
1.964,867.32
1.966,868.05
1.968,868.2
1.97,868.33
1.972,868.96
1.974,869.03
1.976,869.63
1.978,870.17
1.98,870.64
1.982,870.48
1.984,870.73
1.986,870.6
1.988,870.53
1.99,871.18
1.992,871.29
1.994,870.79
1.996,870.65
1.998,870.33
2,870.93
2.002,870.15
2.004,870.11
2.006,869.33
2.008,869.63
2.01,869.04
2.012,869.31
2.014,868.59
2.016,868.29
2.018,868
2.02,867.16
2.022,866.69
2.024,866.72
2.026,865.82
2.028,865.45
2.03,865.32
2.032,864.89
2.034,864.99
2.036,864.83
2.038,864.83
2.04,864.15
2.042,863.85
2.044,863.94
2.046,863.66
2.048,863.74
2.05,863.52
2.052,862.76
2.054,862.86
2.056,862.81
2.058,862.67
2.06,862.56
2.062,863.07
2.064,862.45
2.066,862.58
2.068,862.23
2.07,862.96
2.072,863.2
2.074,863.99
2.076,863.75
2.078,864.7
2.08,865.62
2.082,865.51
2.084,866.25
2.086,866.74
2.088,867.63
2.09,868.55
2.092,868.23
2.094,869.28
2.096,869.37
2.098,869.85
2.1,870.28
2.102,870.36
2.104,870.06
2.106,870.16
2.108,869.61
2.11,868.95
2.112,868.21
2.114,867.55
2.116,866.84
2.118,866.54
2.12,865.61
2.122,864.28
2.124,863.54
2.126,862.93
2.128,861.68
2.13,860.86
2.132,859.85
2.134,858.84
2.136,857.75
2.138,857.09
2.14,856.31
2.142,855.48
2.144,854.53
2.146,853.19
2.148,851.91
2.15,850.88
2.152,850.71
2.154,849.95
2.156,848.75
2.158,847.9
2.16,846.87
2.162,846.89
2.164,846.35
2.166,846.4
2.168,845.88
2.17,845.52
2.172,846.11
2.174,844.99
2.176,844.91
2.178,844.58
2.18,844.2
2.182,843.7
2.184,843.21
2.186,842.85
2.188,842.49
2.19,841.94
2.192,841.63
2.194,840.72
2.196,839.58
2.198,839.41
2.2,838.52
2.202,837.87
2.204,837.64
2.206,835.82
2.208,835.53
2.21,834.25
2.212,833.78
2.214,833.06
2.216,831.91
2.218,831.08
2.22,829.67
2.222,828.82
2.224,827.32
2.226,826.88
2.228,825.03
2.23,823.34
2.232,821.3
2.234,819.5
2.236,817.3
2.238,814.85
2.24,812.51
2.242,809.34
2.244,806.48
2.246,803.66
2.248,800.05
2.25,795.93
2.252,791.91
2.254,787.74
2.256,783.62
2.258,779.06
2.26,774.54
2.262,770.05
2.264,765.25
2.266,761.19
2.268,757.05
2.27,753.47
2.272,750.11
2.274,746.59
2.276,743.15
2.278,739.77
2.28,736.06
2.282,734.2
2.284,731.38
2.286,728.75
2.288,727.37
2.29,724.94
2.292,722.82
2.294,720.34
2.296,718.01
2.298,716.2
2.3,713.22
2.302,711.5
2.304,709.01
2.306,705.92
2.308,703.22
2.31,699.92
2.312,696.94
2.314,693.24
2.316,690
2.318,686.37
2.32,682.91
2.322,678.58
2.324,674.66
2.326,670.16
2.328,667.05
2.33,662.95
2.332,659.8
2.334,655.85
2.336,652.52
2.338,648.95
2.34,645.08
2.342,642.33
2.344,639.43
2.346,636.77
2.348,633.6
2.35,630.74
2.352,628.29
2.354,625.73
2.356,623.34
2.358,620.85
2.36,618.37
2.362,616.39
2.364,614.32
2.366,613.39
2.368,611.55
2.37,610.27
2.372,607.89
2.374,606.09
2.376,604.43
2.378,602.8
2.38,601.71
2.382,600.4
2.384,598.77
2.386,597.48
2.388,597.01
2.39,596.29
2.392,595.98
2.394,595.51
2.396,595.71
2.398,595.7
2.4,596.06
2.402,597.1
2.404,599.43
2.406,602.06
2.408,605.04
2.41,608.72
2.412,612.05
2.414,615.21
2.416,619.64
2.418,623.03
2.42,626.53
2.422,629.99
2.424,633.3
2.426,636.5
2.428,640.23
2.43,644.48
2.432,647.39
2.434,651.23
2.436,655.02
2.438,658.08
2.44,661.77
2.442,665.05
2.444,668.76
2.446,671.32
2.448,673.57
2.45,675.73
2.452,677.78
2.454,679.25
2.456,680.36
2.458,681.76
2.46,681.73
2.462,682.93
2.464,682.92
2.466,682.27
2.468,682.1
2.47,681.29
2.472,680.09
2.474,679.04
2.476,678.9
2.478,677.77
2.48,676.94
2.482,675.9
2.484,674.64
2.486,674.08
2.488,672.48
2.49,670.82
2.492,669.41
2.494,668.41
2.496,666.46
2.498,664.95
2.5,664.09
2.502,663.01
2.504,662.42
2.506,662.69
2.508,662.67
2.51,663.39
2.512,664.47
2.514,666.33
2.516,669.37
2.518,671.81
2.52,675.07
2.522,678.62
2.524,683.14
2.526,688.35
2.528,693.45
2.53,698.82
2.532,704.45
2.534,710.64
2.536,716.94
2.538,722.85
2.54,727.71
2.542,732.43
2.544,737.64
